"Food","Enter","Edu","Trans","Work","House","Oth"
0.043,0.085,0.525,0.18,0.005,0.15,0.012
0.123,0.055,0.002,0.169,0.121,0.266,0.265
0.043,0.085,0.506,0.193,0.006,0.155,0.012
0.119,0.038,0.002,0.301,0.139,0.228,0.172
0.122,0.038,0.002,0.225,0.095,0.354,0.164
0.084,0.05,0.002,0.285,0.079,0.264,0.237
0.089,0.042,0.002,0.215,0.204,0.254,0.195
0.03,0.041,0.647,0.156,0.003,0.116,0.006
0.134,0.036,0.002,0.281,0.141,0.242,0.164
0.035,0.067,0.559,0.168,0.003,0.159,0.01
0.038,0.065,0.59,0.154,0.004,0.14,0.009
0.248,0.015,0.059,0.073,0.084,0.412,0.108
0.275,0.016,0.125,0.087,0.098,0.286,0.113
0.025,0.047,0.579,0.189,0.004,0.148,0.007
0.058,0.048,0.464,0.243,0.005,0.174,0.007
0.157,0.031,0.002,0.232,0.153,0.289,0.136
0.186,0.029,0.002,0.294,0.143,0.233,0.114
0.232,0.018,0.094,0.134,0.096,0.289,0.137
0.176,0.04,0.001,0.188,0.157,0.252,0.186
0.145,0.033,0.002,0.274,0.111,0.299,0.136
0.065,0.036,0.002,0.245,0.144,0.348,0.16
0.045,0.05,0.615,0.14,0.006,0.137,0.007
0.235,0.011,0.1,0.139,0.066,0.369,0.079
0.15,0.037,0.002,0.226,0.113,0.317,0.155
0.156,0.042,0.002,0.217,0.091,0.294,0.198
0.126,0.036,0.002,0.281,0.123,0.274,0.159
0.036,0.061,0.593,0.201,0.004,0.095,0.009
0.185,0.015,0.1,0.088,0.15,0.353,0.11
0.042,0.05,0.617,0.166,0.004,0.114,0.007
0.172,0.022,0.097,0.096,0.095,0.35,0.167
0.188,0.024,0.081,0.081,0.077,0.361,0.187
0.038,0.055,0.572,0.18,0.004,0.144,0.008
0.1,0.041,0.003,0.287,0.188,0.204,0.178
0.11,0.052,0.002,0.243,0.084,0.264,0.245
0.141,0.041,0.002,0.228,0.117,0.282,0.189
0.189,0.031,0.002,0.26,0.157,0.232,0.13
0.144,0.045,0.002,0.223,0.158,0.216,0.211
0.163,0.045,0.002,0.292,0.104,0.192,0.201
0.193,0.036,0.001,0.258,0.14,0.212,0.16
0.076,0.078,0.428,0.136,0.006,0.264,0.011
0.133,0.018,0.131,0.069,0.071,0.445,0.133
0.045,0.062,0.555,0.201,0.003,0.125,0.009
0.046,0.069,0.585,0.187,0.005,0.098,0.01
0.057,0.057,0.557,0.146,0.004,0.17,0.008
0.118,0.025,0.002,0.271,0.199,0.285,0.099
0.034,0.065,0.616,0.207,0.007,0.062,0.009
0.138,0.031,0.002,0.283,0.169,0.246,0.131
0.213,0.017,0.067,0.117,0.106,0.355,0.126
0.064,0.058,0.002,0.241,0.107,0.247,0.281
0.12,0.056,0.002,0.096,0.195,0.264,0.268
0.123,0.036,0.002,0.221,0.164,0.298,0.157
0.193,0.013,0.088,0.091,0.099,0.42,0.096
0.23,0.04,0.002,0.222,0.171,0.159,0.176
0.043,0.072,0.59,0.179,0.004,0.101,0.01
0.132,0.043,0.002,0.239,0.106,0.28,0.198
0.181,0.016,0.1,0.121,0.068,0.396,0.118
0.034,0.076,0.558,0.176,0.004,0.141,0.011
0.151,0.053,0.002,0.19,0.09,0.267,0.249
