"DL","VN","PG","CS","ML","DM","HZ","CR","WT"
8.1,324,5,13,313,"C","N","Sup Del",216
8.4,135,2,13,830,"I","N","Sup Del",160
8.6,391,3,12,304,"C","N","Sup Del",25
11.3,245,6,7,1258,"C","N","Sup Del",67
5.4,321,1,2,221,"C","N","Def Post",14
9.4,397,2,8,1002,"I","N","Sup Del",47
8.2,390,6,13,655,"C","N","Sup Del",7
9.4,252,2,8,1367,"I","N","Sup Del",6
9.3,355,4,2,675,"C","N","Sup Del",30
9.7,159,1,12,888,"C","N","Sup Del",177
8.9,246,1,7,548,"C","H","Def Post",13
7.4,377,3,17,287,"I","N","Def Post",65
6.3,248,1,1,1286,"C","N","Sup Del",137
8.2,368,3,7,1055,"I","N","Def Post",216
6,337,2,5,655,"I","N","Def Post",128
5.7,257,3,9,171,"C","N","Def Post",195
10.6,425,1,10,728,"I","N","Sup Del",6
7.4,418,2,13,634,"C","N","Def Post",158
7.5,171,3,23,284,"C","N","Sup Del",37
8.9,361,2,14,542,"C","N","Def Post",52
9.2,323,4,8,278,"C","N","Def Post",67
10.6,250,4,14,935,"C","H","Sup Del",70
9.7,366,4,2,467,"C","N","Sup Del",52
6.9,382,4,7,423,"C","N","Def Post",145
9.4,346,2,2,589,"C","N","Sup Del",8
7.9,354,1,5,181,"I","N","Sup Del",8
8.9,342,2,8,598,"I","N","Def Post",23
7.8,226,4,9,706,"C","N","Sup Del",273
10.9,357,5,10,684,"C","N","Sup Del",130
7.3,354,1,2,576,"C","H","Sup Del",95
5.5,314,3,3,336,"C","N","Def Post",207
10.1,395,4,15,750,"C","N","Sup Del",103
6.6,229,2,13,564,"C","N","Def Post",106
6.8,331,2,10,547,"C","N","Def Post",22
9,319,4,7,991,"C","N","Sup Del",24
6.6,244,3,13,346,"C","N","Def Post",80
8,335,3,16,203,"C","N","Sup Del",193
8.7,351,5,17,207,"I","N","Sup Del",107
8.7,365,1,11,1543,"I","N","Def Post",83
8,418,5,19,1757,"I","N","Sup Del",282
8.6,245,1,15,753,"C","H","Def Post",32
8.8,268,3,12,864,"C","N","Sup Del",140
8.2,330,3,20,773,"I","H","Sup Del",276
11.3,397,5,6,517,"I","N","Sup Del",191
10.6,452,6,12,631,"C","N","Def Post",3
10.9,276,4,14,1569,"C","N","Def Post",59
11,306,3,13,1098,"I","N","Sup Del",126
7.4,292,3,9,951,"C","N","Def Post",103
7.5,375,3,3,1967,"C","H","Def Post",233
7,310,4,2,1056,"C","N","Def Post",26
7.4,441,3,9,892,"C","N","Def Post",97
5.9,388,2,3,1897,"C","N","Sup Del",86
11,218,3,7,1715,"I","N","Def Post",42
9.7,303,7,11,300,"C","N","Sup Del",114
9.1,155,3,18,1789,"I","N","Sup Del",6
9,216,4,16,470,"C","N","Def Post",48
5.6,377,1,5,649,"C","N","Sup Del",232
9.6,238,5,13,618,"C","N","Def Post",50
8,259,2,14,680,"C","N","Sup Del",211
10.6,303,6,5,1073,"C","N","Def Post",121
9.5,420,3,9,869,"C","N","Sup Del",51
9.3,272,2,11,914,"C","N","Sup Del",113
12.1,183,3,6,657,"C","H","Sup Del",83
7.9,395,2,19,286,"C","N","Def Post",8
6.6,191,1,16,966,"C","N","Sup Del",59
7.5,422,3,3,1179,"C","N","Def Post",33
8.5,387,5,13,228,"C","N","Sup Del",102
8.9,354,1,9,1049,"C","H","Sup Del",181
6.9,316,2,17,109,"C","H","Def Post",55
